feature,contribution,absolute_contribution
param_pc_1,10.328885,10.328885
spatial_radial_distance,0.49104017,0.49104017
spatial_neighbor_fail_density,-0.38241872,0.38241872
param_pc_69,0.07521371,0.07521371
param_pc_48,0.07406963,0.07406963
param_pc_66,0.051963393,0.051963393
param_pc_96,0.050359976,0.050359976
param_pc_79,0.04715469,0.04715469
param_pc_6,0.037690222,0.037690222
param_pc_83,-0.037074473,0.037074473
param_pc_13,0.036681656,0.036681656
param_pc_54,0.034681443,0.034681443
param_pc_39,0.03415657,0.03415657
param_pc_14,-0.028102994,0.028102994
param_pc_19,-0.027532833,0.027532833
param_pc_78,0.026468286,0.026468286
param_pc_86,0.024859242,0.024859242
param_pc_24,0.02260733,0.02260733
param_pc_59,-0.022067457,0.022067457
param_pc_85,0.022045497,0.022045497
param_pc_52,0.021834,0.021834
param_pc_90,-0.021480314,0.021480314
param_pc_33,0.021253996,0.021253996
param_pc_11,0.020023344,0.020023344
param_pc_92,-0.019878607,0.019878607
param_pc_29,0.019544158,0.019544158
param_pc_35,0.018084066,0.018084066
param_pc_21,0.016769353,0.016769353
param_pc_10,0.016004708,0.016004708
param_pc_95,0.0154839475,0.0154839475
param_pc_89,-0.015333242,0.015333242
param_pc_88,0.014597089,0.014597089
param_pc_40,-0.01447721,0.01447721
param_pc_72,0.014395843,0.014395843
param_pc_65,-0.014337875,0.014337875
param_pc_75,0.014270412,0.014270412
param_pc_17,0.01420992,0.01420992
param_pc_37,0.013552788,0.013552788
param_pc_3,-0.013408695,0.013408695
param_pc_15,0.013287841,0.013287841
param_pc_34,0.0132838655,0.0132838655
param_pc_2,-0.012669194,0.012669194
param_pc_23,0.012286796,0.012286796
param_pc_26,-0.011895455,0.011895455
param_pc_57,-0.011817722,0.011817722
param_pc_4,0.011255607,0.011255607
param_pc_61,0.010890444,0.010890444
param_pc_94,0.010726943,0.010726943
param_pc_46,0.010676687,0.010676687
param_pc_41,0.010383944,0.010383944
param_pc_84,0.010360865,0.010360865
param_pc_30,-0.010333196,0.010333196
param_pc_20,-0.009643055,0.009643055
param_pc_32,0.009617283,0.009617283
param_pc_50,0.009229373,0.009229373
param_pc_55,-0.008721103,0.008721103
param_pc_87,0.00867065,0.00867065
param_pc_27,-0.008386617,0.008386617
param_pc_38,-0.00815345,0.00815345
param_pc_9,-0.008014744,0.008014744
param_pc_43,0.007910404,0.007910404
param_pc_91,-0.0074292007,0.0074292007
param_pc_58,0.007262579,0.007262579
param_pc_97,-0.006435587,0.006435587
param_pc_64,-0.006375328,0.006375328
param_pc_62,0.006277665,0.006277665
param_pc_8,-0.0061534867,0.0061534867
param_pc_22,0.0056940205,0.0056940205
param_pc_31,0.0056185615,0.0056185615
param_pc_99,-0.005560181,0.005560181
param_pc_68,0.005270314,0.005270314
param_pc_28,0.005075142,0.005075142
param_pc_81,-0.004963345,0.004963345
param_pc_100,0.004795509,0.004795509
param_pc_44,0.004748408,0.004748408
param_pc_80,0.003920869,0.003920869
param_pc_73,-0.003791246,0.003791246
param_pc_49,0.0035020316,0.0035020316
param_pc_36,0.0034833231,0.0034833231
param_pc_47,0.00330034,0.00330034
param_pc_63,0.0032454643,0.0032454643
param_pc_70,0.003241716,0.003241716
param_pc_56,0.0032014158,0.0032014158
param_pc_51,-0.0031095268,0.0031095268
param_pc_60,0.002895589,0.002895589
param_pc_18,-0.0028584192,0.0028584192
param_pc_7,-0.0027998027,0.0027998027
param_pc_98,-0.0024097757,0.0024097757
param_pc_16,-0.0023599302,0.0023599302
param_pc_53,-0.0020400628,0.0020400628
param_pc_67,-0.0016401216,0.0016401216
param_pc_42,0.0009885045,0.0009885045
param_pc_82,-0.0008700083,0.0008700083
param_pc_71,0.0007325454,0.0007325454
param_pc_12,0.00070244493,0.00070244493
param_pc_25,-0.00068236986,0.00068236986
param_pc_45,-0.0006515508,0.0006515508
param_pc_76,-0.00046149487,0.00046149487
param_pc_74,-9.103098e-05,9.103098e-05
param_pc_93,-8.178411e-05,8.178411e-05
param_pc_5,-3.2735246e-05,3.2735246e-05
param_pc_77,-8.785819e-07,8.785819e-07
