block_component,coefficient,absolute_coefficient
block_pc_4,0.15695615,0.15695615
block_pc_3,0.15573974,0.15573974
block_pc_11,0.06442792,0.06442792
block_pc_27,-0.06439909,0.06439909
block_pc_6,0.06377916,0.06377916
block_pc_14,0.061388087,0.061388087
block_pc_76,0.060459726,0.060459726
block_pc_28,0.060048882,0.060048882
block_pc_39,0.05621097,0.05621097
block_pc_42,0.05487141,0.05487141
block_pc_88,0.05296463,0.05296463
block_pc_8,0.051992536,0.051992536
block_pc_38,0.05055221,0.05055221
block_pc_32,-0.05038232,0.05038232
block_pc_80,0.050057475,0.050057475
block_pc_61,0.049241435,0.049241435
block_pc_64,-0.048011884,0.048011884
block_pc_94,0.04696209,0.04696209
block_pc_68,0.046668816,0.046668816
block_pc_7,0.043895043,0.043895043
block_pc_43,-0.04284998,0.04284998
block_pc_53,0.041773822,0.041773822
block_pc_5,0.040941473,0.040941473
block_pc_69,-0.039849743,0.039849743
block_pc_17,-0.038985346,0.038985346
block_pc_40,0.03829653,0.03829653
block_pc_26,-0.037641987,0.037641987
block_pc_51,-0.037305698,0.037305698
block_pc_84,-0.035126872,0.035126872
block_pc_81,0.035081748,0.035081748
block_pc_10,0.033896524,0.033896524
block_pc_25,0.03389037,0.03389037
block_pc_21,0.03358473,0.03358473
block_pc_18,-0.032048047,0.032048047
block_pc_75,-0.031884782,0.031884782
block_pc_48,0.03122281,0.03122281
block_pc_59,0.0311472,0.0311472
block_pc_15,-0.029899886,0.029899886
block_pc_95,0.029630186,0.029630186
block_pc_54,-0.028899308,0.028899308
block_pc_24,-0.028699825,0.028699825
block_pc_1,-0.026223214,0.026223214
block_pc_45,0.026089787,0.026089787
block_pc_35,0.0249714,0.0249714
block_pc_30,0.024074556,0.024074556
block_pc_37,-0.023681737,0.023681737
block_pc_65,0.022530526,0.022530526
block_pc_85,0.02147675,0.02147675
block_pc_97,0.021343803,0.021343803
block_pc_23,0.021056766,0.021056766
block_pc_87,0.020565944,0.020565944
block_pc_72,0.019827208,0.019827208
block_pc_98,0.01886092,0.01886092
block_pc_16,0.018721651,0.018721651
block_pc_96,0.01815309,0.01815309
block_pc_89,0.017736979,0.017736979
block_pc_46,0.017437223,0.017437223
block_pc_9,-0.01721199,0.01721199
block_pc_20,0.016723173,0.016723173
block_pc_19,-0.0154538555,0.0154538555
block_pc_60,0.015315911,0.015315911
block_pc_67,-0.014805267,0.014805267
block_pc_79,0.014654902,0.014654902
block_pc_22,0.014500451,0.014500451
block_pc_50,0.013825045,0.013825045
block_pc_36,0.013089838,0.013089838
block_pc_52,0.012013219,0.012013219
block_pc_66,0.010803333,0.010803333
block_pc_83,0.010403167,0.010403167
block_pc_13,0.0104024885,0.0104024885
block_pc_44,0.010318723,0.010318723
block_pc_78,-0.00981488,0.00981488
block_pc_57,0.0097399615,0.0097399615
block_pc_90,0.009582007,0.009582007
block_pc_86,-0.009505431,0.009505431
block_pc_62,-0.009238385,0.009238385
block_pc_58,-0.009208793,0.009208793
block_pc_41,0.0090087345,0.0090087345
block_pc_29,-0.008570041,0.008570041
block_pc_34,0.008377301,0.008377301
block_pc_93,-0.008263954,0.008263954
block_pc_55,0.0077442825,0.0077442825
block_pc_49,-0.00742004,0.00742004
block_pc_99,-0.007321568,0.007321568
block_pc_91,-0.00681899,0.00681899
block_pc_33,-0.0065377783,0.0065377783
block_pc_74,-0.0059412494,0.0059412494
block_pc_73,0.005578154,0.005578154
block_pc_2,-0.0052532083,0.0052532083
block_pc_77,-0.0047890143,0.0047890143
block_pc_70,-0.0046633957,0.0046633957
block_pc_31,-0.0042537283,0.0042537283
block_pc_47,-0.0041771494,0.0041771494
block_pc_71,0.004002723,0.004002723
block_pc_100,0.0037706646,0.0037706646
block_pc_12,-0.0035138146,0.0035138146
block_pc_56,-0.003271098,0.003271098
block_pc_63,-0.0030814984,0.0030814984
block_pc_82,0.002694792,0.002694792
block_pc_92,-0.0023619155,0.0023619155
