block_position,model_coefficient,selected_die_contribution,pass_mean,new_failure_mean,class_mean_difference,absolute_selected_die_contribution
1,0.0031663012,-0.00096518645,99.76924,101.16961,1.4003677,0.00096518645
2,0.0049013207,-0.0012524032,100.30109,100.753204,0.45211792,0.0012524032
3,0.0060437243,0.0034862475,99.90206,100.5423,0.6402359,0.0034862475
4,0.0050022765,0.0032847985,100.40408,100.36267,-0.041412354,0.0032847985
5,0.004459191,0.0048309765,100.43759,100.38852,-0.049072266,0.0048309765
6,0.005179951,0.008628285,100.38298,100.39263,0.009651184,0.008628285
7,0.0010819975,-0.00046583012,99.89992,100.06095,0.16103363,0.00046583012
8,-0.0020956914,0.000414567,100.562195,100.3493,-0.21289825,0.000414567
9,-0.0051231827,-0.0007851264,99.90644,100.283516,0.3770752,0.0007851264
10,-0.006689551,0.008072595,100.249344,100.15957,-0.089775085,0.008072595
11,-0.0063320496,0.0059854053,99.889694,100.338936,0.44924164,0.0059854053
12,-0.007816785,-3.611089e-05,99.99903,100.10516,0.10613251,3.611089e-05
13,-0.009742143,0.003673154,100.1648,100.32852,0.16371918,0.003673154
14,-0.010076529,-0.008142234,99.77829,99.985405,0.20711517,0.008142234
15,-0.008309655,0.0015490243,100.1967,99.92561,-0.27108765,0.0015490243
16,-0.009011275,0.0015806877,99.81103,100.27631,0.46528625,0.0015806877
17,-0.0043396475,-0.0023600524,99.715775,100.06058,0.34480286,0.0023600524
18,-0.0027166721,-0.0018668718,99.879524,99.69929,-0.18023682,0.0018668718
19,0.0025126303,0.0011445956,100.10561,100.02694,-0.07867432,0.0011445956
20,0.003766784,0.004621536,100.225426,100.32894,0.103515625,0.004621536
21,0.009368038,-0.002973833,100.21294,99.95621,-0.25672913,0.002973833
22,0.010422953,0.0038869565,100.23882,99.856705,-0.38211823,0.0038869565
23,0.011064649,0.016505763,100.599075,100.48019,-0.118888855,0.016505763
24,0.010123134,0.008182398,100.5623,100.56734,0.0050354004,0.008182398
25,0.007158089,0.009709693,100.07045,100.28322,0.21276855,0.009709693
26,0.004094138,0.0006489826,99.90807,100.10311,0.19503784,0.0006489826
27,0.0041656685,0.0010688954,100.04989,100.479675,0.42978668,0.0010688954
28,0.003283591,0.0031051242,99.879875,99.764084,-0.11579132,0.0031051242
29,0.00499679,-0.005090439,99.98614,100.409294,0.42315674,0.005090439
30,0.0042450456,0.0012986199,99.80217,100.320656,0.518486,0.0012986199
31,0.0049055987,-0.0054459586,99.82696,100.78475,0.9577942,0.0054459586
32,0.002891562,-0.00065862626,100.227325,100.5269,0.2995758,0.00065862626
33,0.005514015,0.0009820844,100.20061,99.85973,-0.34087372,0.0009820844
34,0.004549562,-0.004702812,100.01017,99.75486,-0.25531006,0.004702812
35,0.004886045,-0.00033938035,99.80038,99.90463,0.104255676,0.00033938035
36,0.004321974,-0.0033347302,99.5951,99.92234,0.32724,0.0033347302
37,0.002931249,-0.007903125,99.790665,100.431915,0.6412506,0.007903125
38,0.0021565964,-0.0033455968,99.62894,100.30382,0.674881,0.0033455968
39,0.0032562972,-0.0059268926,99.68711,100.60336,0.91625214,0.0059268926
40,0.0032327147,0.00022244235,99.73406,100.31879,0.5847244,0.00022244235
41,0.0033775317,0.0036544518,100.316414,100.63434,0.3179245,0.0036544518
42,0.0013431015,-0.0008183613,100.00433,100.42725,0.42292023,0.0008183613
43,0.0009642385,0.00043719265,99.44472,100.696625,1.2519073,0.00043719265
44,0.000962859,-0.00046410906,99.873344,100.54033,0.66698456,0.00046410906
45,0.0007162439,-0.0010377666,99.97962,100.49066,0.51103973,0.0010377666
46,-0.00089750154,0.0005903337,99.876625,100.18395,0.30732727,0.0005903337
47,-7.991292e-05,-5.626097e-05,100.6145,100.43848,-0.17602539,5.626097e-05
48,0.0010321941,-0.0015905416,100.22611,99.976616,-0.24949646,0.0015905416
49,0.0024051128,-0.003418808,99.93011,100.28319,0.35308075,0.003418808
50,0.0015766649,-0.0015289941,100.476715,100.46837,-0.008346558,0.0015289941
51,0.0033312854,-0.002974289,100.11034,100.355255,0.24491882,0.002974289
52,0.0040389537,-0.003227121,100.38888,100.809204,0.42032623,0.003227121
53,0.0071160756,-0.006681793,100.15266,100.44414,0.29148102,0.006681793
54,0.00732675,-0.01310051,100.390915,100.72813,0.3372116,0.01310051
55,0.0044684038,-0.008401977,100.26217,100.3223,0.060134888,0.008401977
56,0.0047957106,-0.01352997,100.1144,100.651855,0.5374527,0.01352997
57,0.0002602368,-0.0002881086,99.97001,100.028046,0.058036804,0.0002881086
58,-0.0007404265,0.0005149874,100.209564,100.53874,0.32917786,0.0005149874
59,-0.002154089,-0.0022515801,99.427185,100.46831,1.0411224,0.0022515801
60,-0.0034927095,0.0011957787,99.93838,100.81921,0.88082886,0.0011957787
61,-0.003415814,0.003722471,100.406456,100.14442,-0.26203918,0.003722471
62,-0.0040574963,-0.0044148215,100.74917,100.12474,-0.6244278,0.0044148215
