model_name,stage,f1,precision,recall,pr_auc,roc_auc,accuracy,threshold
CatBoost,A,0.511089,0.910377,0.355269,0.477638,0.804957,0.971234,0.718578
XGBoost,A,0.515845,0.912417,0.359564,0.472416,0.770783,0.971435,0.559862
LightGBM,A,0.5211,0.9041,0.366,0.4811,0.7904,0.9715,0.4064
MLP,A,0.5286,0.9214,0.3706,0.5126,0.8395,0.972,0.9314
CatBoost + block statistics,B,0.5068,0.7539,0.3817,0.5011,0.8237,0.9686,0.7095
XGBoost + PCA(blocks),B,0.5164,0.872,0.3668,0.4809,0.7914,0.9709,0.4579
Autoencoder embedding + CatBoost,B,0.5171,0.9113,0.3609,0.4973,0.8279,0.9715,0.7158
B3a + reconstruction-error feature,B,0.5142,0.8898,0.3616,0.4981,0.8283,0.9711,0.7148
Autoencoder embedding + XGBoost,B,0.5208,0.9041,0.3657,0.4971,0.8244,0.9715,0.4194
1D CNN block fusion,B,0.5234,0.917,0.3662,0.5147,0.8493,0.9718,0.9823
Autoencoder embedding + MLP,B,0.5276,0.9295,0.3683,0.5211,0.8448,0.9721,0.9022
Random Forest,A,0.474,0.8487,0.3288,0.4201,0.7799,0.9815,0.205
Random Forest,B,0.4118,0.5989,0.3138,0.3923,0.8242,0.9773,0.2235
Extra Trees,A,0.4341,0.6799,0.3188,0.3809,0.7599,0.9789,0.305
Extra Trees,B,0.4141,0.499,0.3538,0.3895,0.8124,0.9746,0.3099
Logistic Regression,A,0.5273,0.9247,0.3688,0.4855,0.8456,0.9832,0.9378
Logistic Regression,B,0.5347,0.8078,0.3996,0.5198,0.8822,0.9824,0.9365
HistGradientBoosting,A,0.4671,0.6818,0.3553,0.4194,0.8084,0.9794,0.6812
HistGradientBoosting,B,0.4321,0.553,0.3545,0.4233,0.8446,0.9764,0.7013
Linear SVM,A,0.5286,0.9564,0.3652,0.5261,0.8571,0.9724,1.0665
Linear SVM,B,0.537,0.9085,0.3812,0.5432,0.8729,0.9722,0.961
PCA + KNN,A,0.5221,0.9859,0.3551,0.4534,0.746,0.9725,0.2071
PCA + KNN,B,0.4659,0.8293,0.3239,0.405,0.717,0.9686,0.126
PCA + Logistic Regression,A,0.5351681957186545,0.9020618556701031,0.3804347826086957,0.5322258596880342,0.8648967499240962,0.9720228234861035,0.9
PCA + Logistic Regression,B,0.5377405032067094,0.8423493044822257,0.39492753623188404,0.5499919554285874,0.8789309934532382,0.971255905270262,0.9
PCA + XGBoost,A,0.5264248704663212,0.9236363636363636,0.3681159420289855,0.5060438255584101,0.8405897494106428,0.9719614700288361,0.87
PCA + XGBoost,B,0.5277916875312969,0.8541329011345219,0.3818840579710145,0.5250923740003056,0.8550125995686249,0.97107184489846,0.79
